Objectid,Title,Type,Date,Creator,Description,Subject,Location,Source,Page URL,Format,Language,Rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
235350713,Advertising,Advertising,3/29/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235350713,http://trove.nla.gov.au/newspaper/page/25394496,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235350534.jpg,,,,
235350811,Advertising,Advertising,11/22/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235350811,http://trove.nla.gov.au/newspaper/page/25394702,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235350658.jpg,,,,
235350859,Advertising,Advertising,1/11/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235350859,http://trove.nla.gov.au/newspaper/page/25394430,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235350713.jpg,,,,
235351014,Advertising,Advertising,6/28/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235351014,http://trove.nla.gov.au/newspaper/page/25394574,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235350811.jpg,,,,
235351162,Advertising,Advertising,11/8/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235351162,http://trove.nla.gov.au/newspaper/page/25394690,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235350859.jpg,,,,
235351315,Advertising,Advertising,10/4/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235351315,http://trove.nla.gov.au/newspaper/page/25394658,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235351014.jpg,,,,
235351401,Advertising,Advertising,3/15/1945,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235351401,http://trove.nla.gov.au/newspaper/page/25394484,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235351162.jpg,,,,
235570303,Advertising,Advertising,4/13/1944,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235570303,http://trove.nla.gov.au/newspaper/page/25381738,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235351315.jpg,,,,
235570405,Advertising,Advertising,9/21/1944,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235570405,http://trove.nla.gov.au/newspaper/page/25381876,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235351401.jpg,,,,
235571172,Advertising,Advertising,5/14/1942,"The Propeller (Hurstville, NSW : 1911 - 1954)",,,"Hurstville, NSW",http://nla.gov.au/nla.news-article235571172,http://trove.nla.gov.au/newspaper/page/25381078,"image/jpeg, application/pdf",eng,The National Library of Australia has digitised this work with the permission of the rights holder and enabled download or print options where possible for research or study. For any other purpose please contact the copyright owner via the publisher.,https://rightsstatements.org/vocab/InC/1.0/,image,/objects/235570303.jpg,,,,
